Year;sec_sect_fte;third_sect_fte;sec_y_water_need;third_y_water_need;sec_monthly_water_need_mm;third_monthly_water_need_mm;total
1990;1 638;2 098;148;85;0.174155667;0.128092638;0.302248305
2000;1 398;2 144;148;85;0.148667191;0.130890944;0.279558135
2010;1 354;2 554;148;85;0.143961564;0.155948404;0.299909968
2020;1 245;2 752;148;85;0.132395;0.168055695;0.300450695
2030;1 080;2 919;148;85;0.114804066;0.178268075;0.293072141
2040;1 000;3 001;148;85;0.106347716;0.183234241;0.289581958
2050;1 001;3 002;148;85;0.106390018;0.183307126;0.289697143
2060;1 001;3 003;148;85;0.106437677;0.18338924;0.289826917
2070;1 002;3 005;148;85;0.106485335;0.183471355;0.289956691
2080;1 002;3 006;148;85;0.106532994;0.18355347;0.290086464
2090;1 002;3 007;148;85;0.106580653;0.183635585;0.290216238